,ZIP,STATE,MSA No.,MSA NAME
6849,15864,PA,99037,PA NONMETROPOLITAN AREA
6850,15865,PA,99037,PA NONMETROPOLITAN AREA
6851,15866,PA,99037,PA NONMETROPOLITAN AREA
6852,15868,PA,99037,PA NONMETROPOLITAN AREA
6853,15870,PA,99037,PA NONMETROPOLITAN AREA
6854,15901,PA,27780,"Johnstown, PA MSA"
6855,15902,PA,27780,"Johnstown, PA MSA"
6856,15904,PA,27780,"Johnstown, PA MSA"
6857,15905,PA,27780,"Johnstown, PA MSA"
6858,15906,PA,27780,"Johnstown, PA MSA"
6859,15907,PA,27780,"Johnstown, PA MSA"
6860,15909,PA,27780,"Johnstown, PA MSA"
6861,15915,PA,27780,"Johnstown, PA MSA"
6862,15920,PA,99037,PA NONMETROPOLITAN AREA
6863,15921,PA,27780,"Johnstown, PA MSA"
6864,15922,PA,27780,"Johnstown, PA MSA"
6865,15923,PA,38300,"Pittsburgh, PA MSA"
6866,15924,PA,99037,PA NONMETROPOLITAN AREA
6867,15925,PA,27780,"Johnstown, PA MSA"
6868,15926,PA,99037,PA NONMETROPOLITAN AREA
